
Epoch 1, loss 31.61480171512034, train accuracy: 49.78%, Validation accuracy: 48.00%, Best Valid accuracy: 48.00%
Epoch 2, loss 31.325053398992218, train accuracy: 53.78%, Validation accuracy: 47.00%, Best Valid accuracy: 48.00%
Epoch 3, loss 30.98246674138845, train accuracy: 52.00%, Validation accuracy: 48.00%, Best Valid accuracy: 48.00%
Epoch 4, loss 30.6998386543129, train accuracy: 54.22%, Validation accuracy: 48.00%, Best Valid accuracy: 48.00%
Epoch 5, loss 30.344346605346256, train accuracy: 56.89%, Validation accuracy: 50.00%, Best Valid accuracy: 50.00%
Epoch 6, loss 29.596460460732118, train accuracy: 61.56%, Validation accuracy: 60.00%, Best Valid accuracy: 60.00%
Epoch 7, loss 29.34448272698327, train accuracy: 63.56%, Validation accuracy: 60.00%, Best Valid accuracy: 60.00%
Epoch 8, loss 28.8927246160482, train accuracy: 64.44%, Validation accuracy: 63.00%, Best Valid accuracy: 63.00%
Epoch 9, loss 28.20462107453865, train accuracy: 69.11%, Validation accuracy: 64.00%, Best Valid accuracy: 64.00%
Epoch 10, loss 27.476675807972896, train accuracy: 70.00%, Validation accuracy: 69.00%, Best Valid accuracy: 69.00%
Epoch 11, loss 26.63812643680336, train accuracy: 71.56%, Validation accuracy: 61.00%, Best Valid accuracy: 69.00%
Epoch 12, loss 25.970475934819028, train accuracy: 71.33%, Validation accuracy: 68.00%, Best Valid accuracy: 69.00%
Epoch 13, loss 24.800442811562416, train accuracy: 74.22%, Validation accuracy: 70.00%, Best Valid accuracy: 70.00%
Epoch 14, loss 23.955340175337394, train accuracy: 76.67%, Validation accuracy: 67.00%, Best Valid accuracy: 70.00%
Epoch 15, loss 22.926003901190402, train accuracy: 76.44%, Validation accuracy: 69.00%, Best Valid accuracy: 70.00%
Epoch 16, loss 22.16825581865545, train accuracy: 77.78%, Validation accuracy: 69.00%, Best Valid accuracy: 70.00%
Epoch 17, loss 22.200547672148186, train accuracy: 75.78%, Validation accuracy: 70.00%, Best Valid accuracy: 70.00%
Epoch 18, loss 21.45670380996305, train accuracy: 75.56%, Validation accuracy: 68.00%, Best Valid accuracy: 70.00%
Epoch 19, loss 20.453310857997025, train accuracy: 80.89%, Validation accuracy: 70.00%, Best Valid accuracy: 70.00%
Epoch 20, loss 19.371736795097608, train accuracy: 79.11%, Validation accuracy: 71.00%, Best Valid accuracy: 71.00%
